hop_name,alpha_acid_min,alpha_acid_max,alpha_acid_avg,beta_acid_min,beta_acid_max,beta_acid_avg,alpha_beta_ratio_min_first,alpha_beta_ratio_min_second,alpha_beta_ratio_max_first,alpha_beta_ratio_max_second,alpha_beta_ratio_avg_first,alpha_beta_ratio_avg_second,hsi_min,hsi_max,hsi_avg,cohumulone_min,cohumulone_max,cohumulone_avg,total_oils_min,total_oils_max,total_oils_avg,myrcene_min,myrcene_max,myrcene_avg,humulene_min,humulene_max,humulene_avg,caryophyllene_min,caryophyllene_max,caryophyllene_avg,farnesene_min,farnesene_max,farnesene_avg,other_oils_min,other_oils_max,other_oils_avg
Mimosa Hop,1.9,4.8,3.4,4.3,8.4,6.4,0.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,21.0,34.0,27.5,0.5,1.2,0.9,16.0,42.0,29.0,3.0,12.0,7.5,5.0,8.0,6.5,0.0,3.5,1.8,34.5,76.0,nan
Premiant Hop,7.0,9.0,8.0,3.5,6.5,5.0,1.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,18.0,23.0,20.5,1.0,2.0,1.5,35.0,50.0,42.5,20.0,40.0,30.0,8.0,13.0,10.5,1.0,3.0,2.0,0.0,36.0,nan
Saaz (CZ) Hop,2.0,5.0,3.5,4.0,8.0,6.0,0.0,1.0,1.0,1.0,1.0,1.0,nan,nan,50.0,23.0,26.0,24.5,0.4,1.0,0.7,25.0,40.0,32.5,15.0,30.0,22.5,6.0,9.0,7.5,14.0,20.0,17.0,1.0,40.0,nan
Saaz Late Hop,3.5,6.0,4.8,4.0,6.5,5.3,1.0,1.0,2.0,1.0,1.0,1.0,nan,nan,nan,20.0,25.0,22.5,0.5,1.0,0.8,25.0,35.0,30.0,15.0,25.0,20.0,6.0,9.0,7.5,15.0,20.0,17.5,11.0,39.0,nan
Sládek Hop,4.5,9.0,6.8,4.0,11.0,7.5,0.0,1.0,2.0,1.0,1.0,1.0,nan,nan,nan,23.0,40.0,31.5,0.8,2.0,1.4,35.0,50.0,42.5,20.0,40.0,30.0,9.0,14.0,11.5,0.0,1.0,0.5,0.0,36.0,nan
Vital Hop,9.0,16.0,12.5,6.0,11.0,8.5,1.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,21.0,26.0,23.5,1.1,2.5,1.8,40.0,60.0,50.0,2.0,5.0,3.5,5.0,8.0,6.5,1.0,3.0,2.0,24.0,52.0,nan
Aramis Hop,5.5,8.5,7.0,3.0,5.5,4.3,1.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,20.0,42.0,31.0,1.2,1.6,1.4,38.0,41.0,39.5,19.0,22.0,20.5,2.0,8.0,5.0,2.0,4.0,3.0,25.0,39.0,nan
Barbe Rouge Hop,3.8,10.0,6.9,3.3,4.6,4.0,1.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,24.0,28.0,26.0,1.1,3.0,2.1,35.0,60.0,47.5,15.0,25.0,20.0,2.0,4.0,3.0,0.0,4.0,2.0,7.0,48.0,nan
Bouclier Hop,3.8,8.5,6.2,2.4,3.3,2.9,1.0,1.0,4.0,1.0,2.0,1.0,nan,nan,nan,42.0,47.0,44.5,1.1,1.6,1.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Elixir Hop,4.6,7.0,5.8,4.5,6.6,5.6,1.0,1.0,2.0,1.0,1.0,1.0,nan,nan,nan,25.0,30.0,27.5,1.8,2.2,2.0,65.0,75.0,70.0,1.0,2.0,1.5,26.0,27.0,26.5,0.0,1.0,0.5,0.0,8.0,nan
