hop_name,alpha_acid_min,alpha_acid_max,alpha_acid_avg,beta_acid_min,beta_acid_max,beta_acid_avg,alpha_beta_ratio_min_first,alpha_beta_ratio_min_second,alpha_beta_ratio_max_first,alpha_beta_ratio_max_second,alpha_beta_ratio_avg_first,alpha_beta_ratio_avg_second,hsi_min,hsi_max,hsi_avg,cohumulone_min,cohumulone_max,cohumulone_avg,total_oils_min,total_oils_max,total_oils_avg,myrcene_min,myrcene_max,myrcene_avg,humulene_min,humulene_max,humulene_avg,caryophyllene_min,caryophyllene_max,caryophyllene_avg,farnesene_min,farnesene_max,farnesene_avg,other_oils_min,other_oils_max,other_oils_avg
Amarillo Hop,7.0,11.0,9.0,5.5,8.0,6.8,1.0,1.0,2.0,1.0,1.0,1.0,nan,nan,32.0,21.0,24.0,22.5,1.0,2.3,1.7,40.0,70.0,55.0,19.0,24.0,21.5,7.0,10.0,8.5,6.0,9.0,7.5,0.0,28.0,nan
Apollo Hop,15.0,20.5,17.8,5.5,8.0,6.8,2.0,1.0,4.0,1.0,3.0,1.0,nan,nan,15.0,23.0,28.0,25.5,0.8,2.5,1.7,30.0,50.0,40.0,20.0,35.0,27.5,14.0,20.0,17.0,0.0,1.0,0.5,0.0,36.0,nan
Aquila Hop,6.5,8.9,7.7,3.0,4.9,4.0,1.0,1.0,3.0,1.0,2.0,1.0,60.0,0.6,nan,nan,nan,46.0,nan,nan,1.5,61.0,63.0,62.0,1.0,3.0,2.0,4.0,6.0,5.0,2.0,3.0,2.5,25.0,32.0,nan
Arcadian Hop,nan,nan,9.8,nan,nan,7.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Azacca Hop,14.0,16.0,15.0,4.0,5.5,4.8,3.0,1.0,4.0,1.0,3.0,1.0,24.0,0.241,nan,38.0,45.0,41.5,1.6,2.5,2.1,46.0,55.0,50.5,14.0,18.0,16.0,8.0,12.0,10.0,0.0,1.0,0.5,14.0,32.0,nan
Banner Hop,8.4,13.1,10.8,5.3,8.0,6.7,1.0,1.0,2.0,1.0,2.0,1.0,57.0,0.57,nan,nan,nan,34.0,nan,nan,2.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Belma Hop,8.5,12.1,10.3,4.0,8.0,6.0,1.0,1.0,3.0,1.0,2.0,1.0,28.0,0.275,nan,nan,nan,nan,1.0,2.5,1.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bergamot Hop,8.0,10.7,9.4,6.0,8.9,7.5,1.0,1.0,2.0,1.0,1.0,1.0,nan,nan,nan,39.0,40.0,39.5,nan,nan,2.3,44.0,45.0,44.5,14.0,15.0,14.5,9.0,10.0,9.5,0.0,1.0,0.5,29.0,33.0,nan
Bianca Hop,7.0,8.0,7.5,nan,nan,3.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bitter Gold Hop,12.0,18.8,15.4,4.5,8.0,6.3,2.0,1.0,4.0,1.0,3.0,1.0,nan,nan,nan,36.0,41.0,38.5,0.8,3.9,2.4,45.0,68.0,56.5,7.0,18.0,12.5,7.0,11.0,9.0,0.0,2.0,1.0,1.0,41.0,nan
Bravo Hop,13.0,18.0,15.5,3.0,5.5,4.3,2.0,1.0,6.0,1.0,4.0,1.0,30.0,0.3,nan,28.0,35.0,31.5,1.6,3.5,2.6,25.0,60.0,42.5,8.0,20.0,14.0,6.0,8.0,7.0,0.0,1.0,0.5,11.0,61.0,nan
Brewer's Gold (US) Hop,8.0,11.0,9.5,4.0,6.5,5.3,1.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,40.0,48.0,44.0,1.5,3.0,2.3,40.0,60.0,50.0,12.0,18.0,15.0,8.0,12.0,10.0,0.0,1.0,0.5,9.0,40.0,nan
BRU-1 Hop,13.0,15.0,14.0,8.0,10.0,9.0,1.0,1.0,2.0,1.0,2.0,1.0,nan,nan,nan,35.0,37.0,36.0,1.5,2.0,1.8,50.0,55.0,52.5,7.0,8.0,7.5,9.0,11.0,10.0,0.0,1.0,0.5,25.0,34.0,nan
Bullion Hop,5.3,12.5,8.9,4.5,6.5,5.5,1.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,47.0,50.0,48.5,1.0,2.0,1.5,40.0,55.0,47.5,15.0,25.0,20.0,9.0,14.0,11.5,0.0,1.0,0.5,5.0,36.0,nan
Buzz Bullets Hop,8.0,10.0,9.0,5.0,6.0,5.5,1.0,1.0,2.0,1.0,2.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Caliente Hop,14.0,16.0,15.0,nan,nan,4.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Calypso Hop,12.0,16.0,14.0,5.0,6.0,5.5,2.0,1.0,3.0,1.0,3.0,1.0,nan,nan,33.0,38.0,42.0,40.0,1.5,2.5,2.0,30.0,45.0,37.5,20.0,35.0,27.5,9.0,15.0,12.0,0.0,1.0,0.5,4.0,41.0,nan
Cascade Hop,4.5,9.0,6.8,4.8,7.5,6.2,1.0,1.0,2.0,1.0,1.0,1.0,nan,nan,36.0,30.0,40.0,35.0,0.7,2.5,1.6,45.0,60.0,52.5,8.0,20.0,14.0,3.0,9.0,6.0,3.0,9.0,6.0,2.0,41.0,nan
Cashmere Hop,7.7,9.1,8.4,3.3,7.1,5.2,1.0,1.0,3.0,1.0,2.0,1.0,nan,nan,26.0,22.0,24.0,23.0,1.2,1.4,1.3,39.0,42.0,40.5,26.0,29.0,27.5,11.0,13.0,12.0,0.0,1.0,0.5,15.0,24.0,nan
Centennial Hop,7.0,12.0,9.5,3.5,5.5,4.5,1.0,1.0,3.0,1.0,2.0,1.0,nan,nan,29.0,23.0,30.0,26.5,1.0,3.0,2.0,55.0,65.0,60.0,10.0,20.0,15.0,5.0,7.0,6.0,0.0,1.0,0.5,7.0,30.0,nan
Chelan Hop,12.0,15.0,13.5,8.5,10.0,9.3,1.0,1.0,2.0,1.0,1.0,1.0,nan,nan,nan,33.0,35.0,34.0,1.5,1.9,1.7,45.0,55.0,50.0,12.0,15.0,13.5,9.0,12.0,10.5,0.0,1.0,0.5,17.0,34.0,nan
Chinook Hop,11.5,15.0,13.3,3.0,4.0,3.5,3.0,1.0,5.0,1.0,4.0,1.0,nan,nan,29.0,27.0,35.0,31.0,1.0,2.7,1.9,20.0,30.0,25.0,18.0,24.0,21.0,9.0,11.0,10.0,0.0,1.0,0.5,34.0,53.0,nan
Citra Hop,10.0,15.0,12.5,3.0,4.5,3.8,2.0,1.0,5.0,1.0,4.0,1.0,nan,nan,27.0,20.0,35.0,27.5,1.5,3.0,2.3,60.0,70.0,65.0,7.0,13.0,10.0,5.0,8.0,6.5,0.0,1.0,0.5,8.0,28.0,nan
Cluster Hop,5.5,9.0,7.3,4.5,6.0,5.3,1.0,1.0,2.0,1.0,1.0,1.0,nan,nan,nan,33.0,43.0,38.0,0.4,1.0,0.7,38.0,46.0,42.0,15.0,20.0,17.5,8.0,10.0,9.0,0.0,1.0,0.5,23.0,39.0,nan
Cluster Fugget Blend Hop,8.0,8.2,8.1,4.0,4.2,4.1,2.0,1.0,2.0,1.0,2.0,1.0,nan,nan,nan,30.0,37.0,33.5,0.9,1.0,1.0,26.0,27.0,26.5,27.0,28.0,27.5,11.0,12.0,11.5,1.0,2.0,1.5,31.0,35.0,nan
Columbia Hop,5.0,9.0,7.0,3.0,4.0,3.5,1.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,nan,nan,40.0,1.0,2.0,1.5,45.0,55.0,50.0,15.0,19.0,17.0,9.0,12.0,10.5,3.0,5.0,4.0,9.0,28.0,nan
Columbus Hop,14.0,18.0,16.0,4.5,6.0,5.3,2.0,1.0,4.0,1.0,3.0,1.0,nan,nan,45.0,28.0,35.0,31.5,2.5,4.5,3.5,45.0,55.0,50.0,9.0,14.0,11.5,6.0,10.0,8.0,0.0,1.0,0.5,20.0,40.0,nan
Comet Hop,8.0,12.4,10.2,3.0,6.1,4.6,1.0,1.0,4.0,1.0,3.0,1.0,33.0,0.326,nan,34.0,45.0,39.5,1.0,3.3,2.2,40.0,65.0,52.5,1.0,2.0,1.5,5.0,15.0,10.0,0.0,1.0,0.5,17.0,54.0,nan
Contessa Hop,3.0,5.0,4.0,5.0,7.4,6.2,0.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,29.0,32.0,30.5,0.8,1.9,1.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Crystal Hop,2.8,6.0,4.4,4.5,8.5,6.5,0.0,1.0,1.0,1.0,1.0,1.0,nan,nan,30.0,20.0,26.0,23.0,0.8,2.3,1.6,30.0,55.0,42.5,20.0,30.0,25.0,5.0,12.0,8.5,0.0,1.0,0.5,2.0,45.0,nan
CTZ Hop,14.5,17.0,15.8,4.5,5.5,5.0,3.0,1.0,4.0,1.0,3.0,1.0,25.0,0.249,nan,28.0,35.0,31.5,2.5,4.5,3.5,45.0,55.0,50.0,9.0,14.0,11.5,6.0,10.0,8.0,0.0,1.0,0.5,20.0,40.0,nan
Delta Hop,5.5,7.0,6.3,5.5,7.0,6.3,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,15.0,22.0,24.0,23.0,0.5,1.1,0.8,25.0,40.0,32.5,25.0,35.0,30.0,9.0,15.0,12.0,0.0,1.0,0.5,9.0,41.0,nan
Diamond Springs Hop,nan,nan,4.83,nan,nan,3.18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Ekuanot Hop,13.0,15.5,14.3,4.0,5.5,4.8,2.0,1.0,4.0,1.0,3.0,1.0,nan,nan,nan,31.0,38.0,34.5,2.0,4.5,3.3,30.0,45.0,37.5,12.0,20.0,16.0,8.0,12.0,10.0,0.0,1.0,0.5,22.0,50.0,nan
El Dorado Hop,13.0,17.0,15.0,6.4,8.0,7.2,2.0,1.0,3.0,1.0,2.0,1.0,nan,nan,36.0,28.0,33.0,30.5,2.5,3.3,2.9,55.0,60.0,57.5,10.0,15.0,12.5,6.0,8.0,7.0,0.0,1.0,0.5,16.0,29.0,nan
Emerald Spire Hop,8.6,13.0,10.8,3.5,4.5,4.0,2.0,1.0,4.0,1.0,3.0,1.0,nan,nan,nan,38.0,39.0,38.5,nan,nan,1.6,36.0,37.0,36.5,10.0,11.0,10.5,7.0,8.0,7.5,0.0,1.0,0.5,43.0,47.0,nan
Equinox Hop,14.5,15.5,15.0,4.5,5.5,5.0,3.0,1.0,3.0,1.0,3.0,1.0,nan,nan,nan,32.0,38.0,35.0,2.5,4.5,3.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Eroica Hop,7.3,14.9,11.1,3.0,5.3,4.2,1.0,1.0,5.0,1.0,3.0,1.0,nan,nan,nan,nan,nan,40.0,0.8,1.3,1.1,55.0,65.0,60.0,0.0,1.0,0.5,7.0,13.0,10.0,0.0,1.0,0.5,20.0,38.0,nan
Eureka Hop,17.0,20.0,18.5,4.5,6.0,5.3,3.0,1.0,4.0,1.0,4.0,1.0,nan,nan,nan,27.0,30.0,28.5,2.5,4.4,3.5,42.0,44.0,43.0,29.0,30.0,29.5,0.0,1.0,0.5,0.0,1.0,0.5,24.0,29.0,nan
Evergreen Blend Hop,7.0,7.5,7.3,4.3,4.5,4.4,2.0,1.0,2.0,1.0,2.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.2,30.0,32.0,31.0,20.0,22.0,21.0,10.0,12.0,11.0,1.0,3.0,2.0,31.0,39.0,nan
Falconer's Flight Hop,9.5,12.0,10.8,4.0,5.0,4.5,2.0,1.0,3.0,1.0,2.0,1.0,28.0,0.281,nan,20.0,29.0,24.5,1.4,3.0,2.2,43.0,62.0,52.5,11.0,17.0,14.0,5.0,9.0,7.0,1.0,2.0,1.5,10.0,40.0,nan
Falconer's Flight 7CS Hop,9.0,10.5,9.8,4.7,5.1,4.9,2.0,1.0,2.0,1.0,2.0,1.0,nan,nan,nan,nan,nan,48.0,1.3,2.0,1.7,40.0,55.0,47.5,13.0,18.0,15.5,7.0,10.0,8.5,0.0,1.0,0.5,16.0,40.0,nan
Fantasia Blend Hop,4.3,6.5,5.4,nan,nan,193.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Galena Hop,12.0,15.5,13.8,7.2,8.7,8.0,1.0,1.0,2.0,1.0,2.0,1.0,23.0,0.232,nan,36.0,40.0,38.0,0.9,2.1,1.5,40.0,50.0,45.0,11.0,17.0,14.0,5.0,9.0,7.0,0.0,1.0,0.5,23.0,44.0,nan
Gemini Hop,6.0,10.4,8.2,3.0,4.28,3.6,1.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,31.0,32.0,31.5,nan,nan,1.1,32.0,33.0,32.5,11.0,12.0,11.5,4.0,5.0,4.5,0.0,1.0,0.5,49.0,53.0,nan
Glacier Hop,3.3,9.7,6.5,5.4,10.0,7.7,0.0,1.0,2.0,1.0,1.0,1.0,24.0,0.242,nan,11.0,16.0,13.5,0.5,1.5,1.0,35.0,45.0,40.0,25.0,35.0,30.0,8.0,13.0,10.5,0.0,1.0,0.5,6.0,32.0,nan
Golding Hop,4.0,6.0,5.0,2.0,3.0,2.5,1.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,nan,nan,20.0,0.4,1.0,0.7,25.0,35.0,30.0,35.0,45.0,40.0,13.0,16.0,14.5,0.0,1.0,0.5,3.0,27.0,nan
Grungeist Hop,nan,nan,2.9,nan,nan,9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Hallertau (US) Hop,3.5,6.5,5.0,2.5,6.5,4.5,1.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,18.0,26.0,22.0,0.6,1.5,1.1,35.0,44.0,39.5,30.0,38.0,34.0,10.0,12.0,11.0,0.0,1.0,0.5,5.0,25.0,nan
Hartwick Hop,nan,nan,12.28,nan,nan,5.77,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HBC 472 Hop,7.0,12.0,9.5,7.0,9.0,8.0,1.0,1.0,2.0,1.0,1.0,1.0,nan,nan,nan,40.0,45.0,42.5,1.3,3.0,2.2,35.0,45.0,40.0,0.5,2.0,1.3,26.0,32.0,29.0,3.0,6.0,4.5,15.0,35.5,nan
HBC 586 Hop,18.0,22.0,20.0,11.0,14.0,12.5,1.0,1.0,2.0,1.0,2.0,1.0,nan,nan,nan,35.0,40.0,37.5,2.5,4.5,3.5,55.0,65.0,60.0,8.0,12.0,10.0,8.0,10.0,9.0,0.0,1.0,0.5,12.0,29.0,nan
HBC 630 Hop,12.0,15.0,13.5,5.0,7.0,6.0,2.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,20.0,26.0,23.0,1.5,3.0,2.3,40.0,50.0,45.0,15.0,20.0,17.5,11.0,15.0,13.0,0.0,1.0,0.5,14.0,34.0,nan
HBC 692 Hop,8.9,9.5,9.2,8.3,10.2,9.3,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,21.0,nan,nan,nan,1.0,2.2,1.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Helios Hop,16.8,21.0,18.9,3.5,4.5,4.0,4.0,1.0,6.0,1.0,5.0,1.0,nan,nan,nan,26.0,29.0,27.5,1.5,2.0,1.8,40.0,70.0,55.0,19.0,24.0,21.5,7.0,10.0,8.5,4.0,6.0,5.0,0.0,30.0,nan
Horizon Hop,8.8,12.0,10.4,5.5,7.5,6.5,1.0,1.0,2.0,1.0,2.0,1.0,nan,nan,nan,16.0,19.0,17.5,0.5,1.5,1.0,45.0,55.0,50.0,10.0,20.0,15.0,8.0,14.0,11.0,3.0,5.0,4.0,6.0,34.0,nan
Hydra Hop,10.5,13.7,12.1,6.4,7.9,7.2,1.0,1.0,2.0,1.0,2.0,1.0,nan,nan,nan,27.0,28.0,27.5,nan,nan,1.9,54.0,55.0,54.5,11.0,12.0,11.5,8.0,9.0,8.5,0.0,1.0,0.5,23.0,27.0,nan
Idaho 7 Hop,9.5,14.9,12.2,3.5,5.0,4.3,2.0,1.0,4.0,1.0,3.0,1.0,nan,nan,nan,30.0,40.0,35.0,1.0,2.0,1.5,45.0,55.0,50.0,10.0,20.0,15.0,6.0,10.0,8.0,0.0,1.0,0.5,14.0,39.0,nan
Idaho Gem Hop,11.0,14.0,12.5,5.0,7.0,6.0,2.0,1.0,3.0,1.0,2.0,1.0,28.0,0.276,nan,40.0,45.0,42.5,1.3,2.3,1.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Independence Hop,nan,nan,4.7,nan,nan,1.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Jarrylo Hop,15.0,17.0,16.0,6.0,7.5,6.8,2.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,34.0,37.0,35.5,3.6,4.3,4.0,40.0,55.0,47.5,15.0,18.0,16.5,8.0,11.0,9.5,0.0,1.0,0.5,15.0,37.0,nan
Lambic Hop,1.0,2.0,1.5,2.8,5.0,3.9,0.0,1.0,1.0,1.0,0.0,1.0,nan,nan,nan,29.0,35.0,32.0,0.8,1.2,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lawton Hop,3.5,4.0,3.8,3.0,3.2,3.1,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,0.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lemondrop Hop,5.0,7.0,6.0,4.0,6.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,nan,nan,nan,28.0,34.0,31.0,0.8,2.0,1.4,45.0,47.0,46.0,56.0,58.0,57.0,9.0,10.0,9.5,6.0,7.0,6.5,nan,nan,nan
Liberty Hop,3.0,6.5,4.8,3.0,4.0,3.5,1.0,1.0,2.0,1.0,1.0,1.0,nan,nan,nan,22.0,30.0,26.0,0.6,1.8,1.2,15.0,25.0,20.0,35.0,45.0,40.0,10.0,15.0,12.5,0.0,1.0,0.5,14.0,40.0,nan
Loral Hop,10.0,17.0,13.5,1.5,6.5,4.0,2.0,1.0,11.0,1.0,6.0,1.0,nan,nan,nan,20.0,24.0,22.0,1.5,3.4,2.5,52.0,58.0,55.0,17.0,18.0,17.5,5.0,6.0,5.5,0.0,1.0,0.5,17.0,26.0,nan
Lotus Hop,13.0,17.0,15.0,5.0,6.0,5.5,2.0,1.0,3.0,1.0,3.0,1.0,nan,nan,nan,33.0,39.0,36.0,1.5,2.5,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Mackinac Hop,9.0,14.0,11.5,2.8,4.0,3.4,2.0,1.0,5.0,1.0,4.0,1.0,nan,nan,nan,28.0,35.0,31.5,1.5,2.2,1.9,15.0,17.0,16.0,11.0,12.0,11.5,4.0,5.0,4.5,1.0,2.0,1.5,64.0,69.0,nan
Magnum (US) Hop,10.0,16.0,13.0,4.5,7.0,5.8,1.0,1.0,4.0,1.0,2.0,1.0,nan,nan,18.0,21.0,30.0,25.5,1.6,3.0,2.3,30.0,45.0,37.5,30.0,45.0,37.5,8.0,12.0,10.0,0.0,1.0,0.5,0.0,32.0,nan
McKenzie Hop,9.0,11.0,10.0,8.0,9.0,8.5,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,2.0,3.0,2.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Medusa Hop,3.0,5.0,4.0,5.0,6.5,5.8,0.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,35.0,49.0,42.0,0.4,0.7,0.6,54.0,55.0,54.5,9.0,10.0,9.5,13.0,14.0,13.5,1.0,2.0,1.5,19.0,23.0,nan
Meridian Hop,5.0,7.0,6.0,6.0,9.0,7.5,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,45.0,50.0,47.5,1.0,1.6,1.3,29.0,31.0,30.0,7.0,9.0,8.0,3.0,4.0,3.5,0.0,1.0,0.5,55.0,61.0,nan
Michigan Copper Hop,8.8,11.0,9.9,2.0,3.5,2.8,3.0,1.0,6.0,1.0,4.0,1.0,nan,nan,nan,32.0,36.0,34.0,1.15,2.7,1.9,42.0,44.0,43.0,17.0,18.0,17.5,7.0,8.0,7.5,0.0,1.0,0.5,29.0,34.0,nan
Millennium Hop,14.5,18.5,16.5,4.3,6.5,5.4,2.0,1.0,4.0,1.0,3.0,1.0,24.0,0.24,nan,28.0,35.0,31.5,1.5,3.0,2.3,35.0,55.0,45.0,15.0,25.0,20.0,8.0,10.0,9.0,0.0,1.0,0.5,9.0,42.0,nan
Mosaic Hop,11.5,13.5,12.5,3.2,3.9,3.6,3.0,1.0,4.0,1.0,4.0,1.0,nan,nan,26.0,24.0,26.0,25.0,1.0,1.5,1.3,47.0,55.0,51.0,10.0,16.0,13.0,3.0,8.0,5.5,0.0,1.0,0.5,20.0,40.0,nan
Mount Hood Hop,3.9,8.0,6.0,5.0,8.0,6.5,0.0,1.0,2.0,1.0,1.0,1.0,nan,nan,36.0,21.0,23.0,22.0,1.2,1.7,1.5,30.0,40.0,35.0,12.0,38.0,25.0,7.0,16.0,11.5,0.0,1.0,0.5,5.0,51.0,nan
Mount Rainier Hop,5.0,9.4,7.2,5.0,9.2,7.1,1.0,1.0,2.0,1.0,1.0,1.0,nan,nan,nan,21.0,34.0,27.5,0.2,3.9,2.1,58.0,59.0,58.5,17.0,18.0,17.5,7.0,8.0,7.5,0.0,1.0,0.5,14.0,18.0,nan
Multihead Hop,3.5,4.5,4.0,5.5,8.0,6.8,0.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,45.0,0.5,1.5,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Newport Hop,10.5,17.0,13.8,5.5,9.1,7.3,1.0,1.0,3.0,1.0,2.0,1.0,23.0,0.225,nan,36.0,38.0,37.0,1.3,3.6,2.5,45.0,55.0,50.0,15.0,20.0,17.5,7.0,11.0,9.0,0.0,1.0,0.5,13.0,33.0,nan
Nobility Blend Hop,4.2,4.5,4.4,4.9,5.3,5.1,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,27.0,nan,nan,0.7,34.0,38.0,36.0,22.0,23.0,22.5,26.0,28.0,27.0,6.0,8.0,7.0,3.0,12.0,nan
Northdown Hop,7.0,10.0,8.5,4.0,5.5,4.8,1.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,24.0,32.0,28.0,1.2,2.5,1.9,23.0,29.0,26.0,40.0,45.0,42.5,13.0,17.0,15.0,0.0,1.0,0.5,8.0,24.0,nan
Northern Brewer (US) Hop,7.0,10.0,8.5,3.0,5.5,4.3,1.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,27.0,34.0,30.5,1.0,2.0,1.5,35.0,45.0,40.0,27.0,31.0,29.0,11.0,15.0,13.0,0.0,1.0,0.5,8.0,27.0,nan
Nugget Hop,9.5,16.0,12.8,3.0,5.8,4.4,2.0,1.0,5.0,1.0,3.0,1.0,nan,nan,25.0,22.0,30.0,26.0,0.9,3.3,2.1,48.0,59.0,53.5,12.0,22.0,17.0,7.0,10.0,8.5,0.0,1.0,0.5,8.0,33.0,nan
Old Mission Hop,nan,nan,4.33,nan,nan,3.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Olympic Hop,10.6,13.8,12.2,3.8,6.1,5.0,2.0,1.0,4.0,1.0,3.0,1.0,nan,nan,nan,nan,nan,31.0,0.86,2.55,1.7,45.0,55.0,50.0,9.0,13.0,11.0,7.0,12.0,9.5,0.0,1.0,0.5,19.0,39.0,nan
Pacific Crest Hop,nan,nan,3.9,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Pahto Hop,17.0,20.0,18.5,4.5,6.0,5.3,3.0,1.0,4.0,1.0,4.0,1.0,nan,nan,nan,26.0,32.0,29.0,1.0,2.5,1.8,58.0,72.0,65.0,8.0,11.0,9.5,3.0,6.0,4.5,0.0,1.0,0.5,10.0,31.0,nan
Palisade Hop,5.5,10.0,7.8,5.5,8.0,6.8,1.0,1.0,2.0,1.0,1.0,1.0,nan,nan,nan,24.0,29.0,26.5,0.8,2.0,1.4,45.0,55.0,50.0,10.0,20.0,15.0,8.0,16.0,12.0,0.0,1.0,0.5,8.0,37.0,nan
Paradigm Hop,8.0,11.7,9.9,3.9,6.3,5.1,1.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,34.0,35.0,34.5,1.2,2.17,1.7,39.0,40.0,39.5,4.0,5.0,4.5,3.0,4.0,3.5,0.0,1.0,0.5,50.0,54.0,nan
Pekko Hop,13.0,16.0,14.5,3.5,5.0,4.3,3.0,1.0,5.0,1.0,4.0,1.0,nan,nan,nan,27.0,30.0,28.5,1.0,3.0,2.0,20.0,30.0,25.0,20.0,28.0,24.0,15.0,20.0,17.5,0.0,1.0,0.5,21.0,45.0,nan
Perle (US) Hop,4.0,9.0,6.5,2.5,4.5,3.5,1.0,1.0,4.0,1.0,2.0,1.0,nan,nan,nan,28.0,35.0,31.5,0.5,2.0,1.3,30.0,45.0,37.5,28.0,34.0,31.0,12.0,16.0,14.0,0.0,1.0,0.5,4.0,30.0,nan
Petoskey Hop,nan,nan,12.1,nan,nan,6.16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Prussian Hop,nan,nan,4.29,nan,nan,2.73,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Saaz (US) Hop,3.0,4.5,3.8,3.0,4.5,3.8,1.0,1.0,2.0,1.0,1.0,1.0,25.0,0.25,nan,24.0,28.0,26.0,0.5,1.0,0.8,25.0,30.0,27.5,35.0,40.0,37.5,9.0,11.0,10.0,9.0,13.0,11.0,6.0,22.0,nan
Sabro Hop,12.0,17.0,14.5,4.0,7.0,5.5,2.0,1.0,4.0,1.0,3.0,1.0,24.0,0.242,nan,20.0,24.0,22.0,1.8,3.5,2.7,50.0,68.0,59.0,7.0,14.0,10.5,7.0,11.0,9.0,0.0,1.0,0.5,6.0,36.0,nan
